report_id,report_type,report_start,report_end,report_revision,source_sha256,source_page,geography_type,geography_code,geography_label,offense_code,offense_label,period,statistic,observation_year,comparison_year,comparison_lag_years,value_numeric,value_reported,null_reason,extraction_version,validation_status
weekly-2026-08-09-r1,weekly_compstat,2026-08-03,2026-08-09,1,d053b8953d09a9bb575875df7c2e126133ebe930c15a86098f6a026fcdbbecf8,1,citywide,citywide,Citywide,burglary,Burglary,year_to_date,percent_change,2026,2023,3,-2.0,-2%,,wilmington-compstat-v1,validated
weekly-2026-08-09-r1,weekly_compstat,2026-08-03,2026-08-09,1,d053b8953d09a9bb575875df7c2e126133ebe930c15a86098f6a026fcdbbecf8,1,citywide,citywide,Citywide,burglary,Burglary,year_to_date,percent_change,2026,2022,4,-11.0,-11%,,wilmington-compstat-v1,validated
weekly-2026-08-09-r1,weekly_compstat,2026-08-03,2026-08-09,1,d053b8953d09a9bb575875df7c2e126133ebe930c15a86098f6a026fcdbbecf8,1,citywide,citywide,Citywide,burglary,Burglary,year_to_date,percent_change,2026,2021,5,-18.0,-18%,,wilmington-compstat-v1,validated
weekly-2026-08-09-r1,weekly_compstat,2026-08-03,2026-08-09,1,d053b8953d09a9bb575875df7c2e126133ebe930c15a86098f6a026fcdbbecf8,1,citywide,citywide,Citywide,burglary,Burglary,year_to_date,percent_change,2026,2020,6,-33.0,-33%,,wilmington-compstat-v1,validated
weekly-2026-08-09-r1,weekly_compstat,2026-08-03,2026-08-09,1,d053b8953d09a9bb575875df7c2e126133ebe930c15a86098f6a026fcdbbecf8,1,citywide,citywide,Citywide,felony_theft,Felony Theft,last_7_days,count,2026,,,5,5,,wilmington-compstat-v1,validated
weekly-2026-08-09-r1,weekly_compstat,2026-08-03,2026-08-09,1,d053b8953d09a9bb575875df7c2e126133ebe930c15a86098f6a026fcdbbecf8,1,citywide,citywide,Citywide,felony_theft,Felony Theft,last_7_days,count,2025,,,2,2,,wilmington-compstat-v1,validated
weekly-2026-08-09-r1,weekly_compstat,2026-08-03,2026-08-09,1,d053b8953d09a9bb575875df7c2e126133ebe930c15a86098f6a026fcdbbecf8,1,citywide,citywide,Citywide,felony_theft,Felony Theft,last_7_days,percent_change,2026,2025,1,150.0,150%,,wilmington-compstat-v1,validated
weekly-2026-08-09-r1,weekly_compstat,2026-08-03,2026-08-09,1,d053b8953d09a9bb575875df7c2e126133ebe930c15a86098f6a026fcdbbecf8,1,citywide,citywide,Citywide,felony_theft,Felony Theft,last_28_days,count,2026,,,22,22,,wilmington-compstat-v1,validated
weekly-2026-08-09-r1,weekly_compstat,2026-08-03,2026-08-09,1,d053b8953d09a9bb575875df7c2e126133ebe930c15a86098f6a026fcdbbecf8,1,citywide,citywide,Citywide,felony_theft,Felony Theft,last_28_days,count,2025,,,9,9,,wilmington-compstat-v1,validated
weekly-2026-08-09-r1,weekly_compstat,2026-08-03,2026-08-09,1,d053b8953d09a9bb575875df7c2e126133ebe930c15a86098f6a026fcdbbecf8,1,citywide,citywide,Citywide,felony_theft,Felony Theft,last_28_days,percent_change,2026,2025,1,144.0,144%,,wilmington-compstat-v1,validated
weekly-2026-08-09-r1,weekly_compstat,2026-08-03,2026-08-09,1,d053b8953d09a9bb575875df7c2e126133ebe930c15a86098f6a026fcdbbecf8,1,citywide,citywide,Citywide,felony_theft,Felony Theft,year_to_date,count,2026,,,132,132,,wilmington-compstat-v1,validated
weekly-2026-08-09-r1,weekly_compstat,2026-08-03,2026-08-09,1,d053b8953d09a9bb575875df7c2e126133ebe930c15a86098f6a026fcdbbecf8,1,citywide,citywide,Citywide,felony_theft,Felony Theft,year_to_date,count,2025,,,146,146,,wilmington-compstat-v1,validated
weekly-2026-08-09-r1,weekly_compstat,2026-08-03,2026-08-09,1,d053b8953d09a9bb575875df7c2e126133ebe930c15a86098f6a026fcdbbecf8,1,citywide,citywide,Citywide,felony_theft,Felony Theft,year_to_date,percent_change,2026,2025,1,-10.0,-10%,,wilmington-compstat-v1,validated
weekly-2026-08-09-r1,weekly_compstat,2026-08-03,2026-08-09,1,d053b8953d09a9bb575875df7c2e126133ebe930c15a86098f6a026fcdbbecf8,1,citywide,citywide,Citywide,felony_theft,Felony Theft,year_to_date,percent_change,2026,2024,2,-15.0,-15%,,wilmington-compstat-v1,validated
weekly-2026-08-09-r1,weekly_compstat,2026-08-03,2026-08-09,1,d053b8953d09a9bb575875df7c2e126133ebe930c15a86098f6a026fcdbbecf8,1,citywide,citywide,Citywide,felony_theft,Felony Theft,year_to_date,percent_change,2026,2023,3,-22.0,-22%,,wilmington-compstat-v1,validated
weekly-2026-08-09-r1,weekly_compstat,2026-08-03,2026-08-09,1,d053b8953d09a9bb575875df7c2e126133ebe930c15a86098f6a026fcdbbecf8,1,citywide,citywide,Citywide,felony_theft,Felony Theft,year_to_date,percent_change,2026,2022,4,-28.0,-28%,,wilmington-compstat-v1,validated
weekly-2026-08-09-r1,weekly_compstat,2026-08-03,2026-08-09,1,d053b8953d09a9bb575875df7c2e126133ebe930c15a86098f6a026fcdbbecf8,1,citywide,citywide,Citywide,felony_theft,Felony Theft,year_to_date,percent_change,2026,2021,5,-25.0,-25%,,wilmington-compstat-v1,validated
weekly-2026-08-09-r1,weekly_compstat,2026-08-03,2026-08-09,1,d053b8953d09a9bb575875df7c2e126133ebe930c15a86098f6a026fcdbbecf8,1,citywide,citywide,Citywide,felony_theft,Felony Theft,year_to_date,percent_change,2026,2020,6,9.0,9%,,wilmington-compstat-v1,validated
weekly-2026-08-09-r1,weekly_compstat,2026-08-03,2026-08-09,1,d053b8953d09a9bb575875df7c2e126133ebe930c15a86098f6a026fcdbbecf8,1,citywide,citywide,Citywide,auto_theft,Auto Theft,last_7_days,count,2026,,,5,5,,wilmington-compstat-v1,validated
weekly-2026-08-09-r1,weekly_compstat,2026-08-03,2026-08-09,1,d053b8953d09a9bb575875df7c2e126133ebe930c15a86098f6a026fcdbbecf8,1,citywide,citywide,Citywide,auto_theft,Auto Theft,last_7_days,count,2025,,,9,9,,wilmington-compstat-v1,validated
weekly-2026-08-09-r1,weekly_compstat,2026-08-03,2026-08-09,1,d053b8953d09a9bb575875df7c2e126133ebe930c15a86098f6a026fcdbbecf8,1,citywide,citywide,Citywide,auto_theft,Auto Theft,last_7_days,percent_change,2026,2025,1,-44.0,-44%,,wilmington-compstat-v1,validated
weekly-2026-08-09-r1,weekly_compstat,2026-08-03,2026-08-09,1,d053b8953d09a9bb575875df7c2e126133ebe930c15a86098f6a026fcdbbecf8,1,citywide,citywide,Citywide,auto_theft,Auto Theft,last_28_days,count,2026,,,22,22,,wilmington-compstat-v1,validated
weekly-2026-08-09-r1,weekly_compstat,2026-08-03,2026-08-09,1,d053b8953d09a9bb575875df7c2e126133ebe930c15a86098f6a026fcdbbecf8,1,citywide,citywide,Citywide,auto_theft,Auto Theft,last_28_days,count,2025,,,29,29,,wilmington-compstat-v1,validated
